scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2024-07-11,13:07,domestic,国内,1,デイリースポーツ,石丸伸二氏、開票速報の対応「内心、おちょくってました」テレ朝単独インタビューで吐露,https://news.yahoo.co.jp/articles/19be80693b0699b120b04685598e8aab7a952556,7/11(木) 9:31
2024-07-11,13:07,domestic,国内,2,デイリースポーツ,石丸伸二氏、ガツン返しの山崎怜奈へ「女、子どもに容赦するのは優しさじゃない」,https://news.yahoo.co.jp/articles/7f4b8389a0a51556d9e70f138ed782bd4d54d26f,7/11(木) 9:47
2024-07-11,13:07,domestic,国内,3,FNNプライムオンライン,【独自】「女性は泣きじゃくって」“ノーブレーキ”で衝突の瞬間　見通しいい交差点で相次ぐ事故　“信号位置”が原因か,https://news.yahoo.co.jp/articles/3b2a7563dddc69548268b68064871c8aff5fadfb,7/11(木) 7:13
2024-07-11,13:07,domestic,国内,4,中日スポーツ,石丸伸二さん、選挙特番で『ブチ切れ対応』の真意を語る「善意に対しては善意で返すし、敵意に関しては敵意をちゃんと返す」元アイドルの質問を一蹴して話題に,https://news.yahoo.co.jp/articles/99fcacea7c77ee690560caa480521024b71484e5,7/10(水) 22:32
2024-07-11,13:07,domestic,国内,5,みんかぶマガジン,レンホウ！レンホウ！ダンスにドン引き…「2位じゃダメなんですか」が、まさかの3位。でも「次の選挙は2位でも大丈夫」手応え十分意気揚々,https://news.yahoo.co.jp/articles/a0a30e3d22d6b8a828a031ad9f4bb5a639063dd2,7/11(木) 9:10
2024-07-11,13:07,domestic,国内,6,スポーツ報知,玉川徹氏、「県職員労働組合」辞職要求も「否定」した兵庫・斎藤元彦知事に疑問「事実上の職員からの不信任…どうやって県を運営していくんですか？」,https://news.yahoo.co.jp/articles/00ce443228f981ca0697a009b37c30e04db96394,7/11(木) 9:19
2024-07-11,13:07,domestic,国内,7,日刊スポーツ,石丸伸二氏が豪語「サブウェイの注文はめちゃくちゃ早いですよ」SNSの大喜利状態にコメント,https://news.yahoo.co.jp/articles/46e04e9295c13bb1ac545935204cd36c1ef46c90,7/11(木) 12:28
2024-07-11,13:07,domestic,国内,8,デイリースポーツ,石丸伸二氏「サブウェイ注文、めっちゃ早いです」　ネット大喜利に大爆笑,https://news.yahoo.co.jp/articles/8dbb6192c7345596b4dc9e7c96f2381a100025cd,7/11(木) 10:05
2024-07-11,13:07,domestic,国内,9,デイリースポーツ,石丸伸二氏　京大先輩の芥川賞作家から苦言か「本当に賢い人って１を聞いただけでサクサク答える人」,https://news.yahoo.co.jp/articles/0e1b63d71780c53b17fc7b25152d01043b27866e,7/10(水) 17:51
2024-07-11,13:07,domestic,国内,10,日刊スポーツ,石丸伸二氏「そりゃ、いやな仕事が来たと思いますよね」テレ朝斎藤ちはるアナのインタビューに,https://news.yahoo.co.jp/articles/b78419480edec5dbb0a54686bd4c1dc8a686d3fd,7/11(木) 12:04
