scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2024-12-08,20:05,local,地域,1,MBSニュース,「体はズタズタで見せられない…」小学5年の息子が10か所以上刺され殺害　謝罪なかった受刑者に遺族問いかけ　返ってきたのは初の「謝罪」70回以上分割払いした裁判費用　支払い終えても苦しみ続く,https://news.yahoo.co.jp/articles/04aa26fcbe1f780adfd5ae830d477278509610b7,12/8(日) 14:00
2024-12-08,20:05,local,地域,2,tvkニュース（テレビ神奈川）,運転交代で車外へ・・後退してきた車の下敷きで女性死亡　伊勢原市大山,https://news.yahoo.co.jp/articles/4ad8d6102394687516955ff827c53ddf1cd60e5a,12/8(日) 19:08
2024-12-08,20:05,local,地域,3,静岡放送（SBS）,「母親になれなくて、自分の辛さを優先して、ごめんなさい」ネカフェの個室トイレの床で出産 女は目を開いた我が子の体をブランケットで固く巻き付けた,https://news.yahoo.co.jp/articles/f8de3592c87808f43b11e2933d71687cc4944660,12/8(日) 7:02
2024-12-08,20:05,local,地域,4,埼玉新聞,【速報】常磐道で25キロの渋滞　関越道では雪タイヤ着用規制,https://news.yahoo.co.jp/articles/fdbccf450f25c407fb2b1604df97473dac187d1f,12/8(日) 16:53
2024-12-08,20:05,local,地域,5,RBC琉球放送,機関故障でクルーズ船出港できず　台湾からの乗客2千人以上が飛行機で帰国へ　沖縄・那覇,https://news.yahoo.co.jp/articles/90d7e0d37a8bd937f464c536c5b6d6bf917ce9a8,12/8(日) 16:51
2024-12-08,20:05,local,地域,6,MBSニュース,【速報】阪急京都線と千里線　大阪メトロ堺筋線で一時運転見合わせ　沿線火災の影響で,https://news.yahoo.co.jp/articles/4760948ec55b9c6cfb6ac90729a592f5dba64b4d,12/8(日) 16:40
2024-12-08,20:05,local,地域,7,京都新聞,【速報】阪急京都線が一時運転見合わせ　京都府内の線路沿いで民家火災、がれき一部線路に,https://news.yahoo.co.jp/articles/da6ea7fc401ba530b110cb13a266a6ae2160a6c2,12/8(日) 16:54
2024-12-08,20:05,local,地域,8,京都新聞,【速報】ごみ収集車にはねられて死亡、男性の身元判明　道路を横断中,https://news.yahoo.co.jp/articles/b4b29faaa9ff50f9949e099a0fab207266bde428,12/8(日) 17:54
2024-12-08,20:05,local,地域,9,MRO北陸放送,大部分が白骨化した身元不明の遺体 石川県羽咋市の海岸で見つかる,https://news.yahoo.co.jp/articles/a9553c9862bb94fe2e9405eb1287c1d1afdddfec,12/8(日) 18:23
2024-12-08,20:05,local,地域,10,RBC琉球放送,「空中に跳ね上がって回転」あわや大惨事  車がガードパイプなどなぎ倒し横転  2人けが,https://news.yahoo.co.jp/articles/d27369115834055d93102ec6a34308c3ec6d6dd8,12/8(日) 18:36
2024-12-08,20:05,local,地域,11,長崎国際テレビ,【速報】長崎市西海町で殺人事件か…外国籍の男性が搬送先の病院で死亡との情報,https://news.yahoo.co.jp/articles/0a013b0887d949bb9d8a329673950931a81ab168,12/8(日) 19:13
2024-12-08,20:05,local,地域,12,中国新聞デジタル,歩車分離式の信号、自転車はどっち?　車用で進んだらクラクション鳴らされヒヤリ,https://news.yahoo.co.jp/articles/8b5cdda9955b408545ce9401ecf0b4f2316aa834,12/8(日) 14:19
2024-12-08,20:05,local,地域,13,あいテレビ,国道に横たわっていた男性（36）がタクシーにひかれ死亡　愛媛・松山市,https://news.yahoo.co.jp/articles/bab3842bece87c111bdff1acebed5dd3c37cdc02,12/8(日) 17:04
2024-12-08,20:05,local,地域,14,千葉日報オンライン,【速報】柏で車4台絡む事故　男児3人含む7人搬送,https://news.yahoo.co.jp/articles/a79d699c5c488d9eb83a88bb846b7aa9df155f1c,12/8(日) 18:07
2024-12-08,20:05,local,地域,15,読売テレビ,【速報】50歳息子の首絞め殺害した疑い「介護に疲れ一緒に死のうと思った」82歳父を逮捕　滋賀,https://news.yahoo.co.jp/articles/025618d5e249ae6881846f927ef63f9aee43cfc3,12/8(日) 19:10
2024-12-08,20:05,local,地域,16,STVニュース北海道,「男性客が殴られて口から出血」　無職の男を逮捕　札幌市,https://news.yahoo.co.jp/articles/b60510749b1fd9d490f6652b52285ba6939edbed,12/8(日) 19:17
2024-12-08,20:05,local,地域,17,RBC琉球放送,飲酒運転で事故起こし逮捕された “自称 整備士”　実は地方公務員だった　逮捕時に職業偽る,https://news.yahoo.co.jp/articles/1b0cfaab0d6033b22e237bff99c567d57f5fb4f0,12/8(日) 18:23
2024-12-08,20:05,local,地域,18,京都新聞,京都市が「宿泊税」引き上げへ　2023年度の税収52億円、さらに「数十億円規模」で増加か,https://news.yahoo.co.jp/articles/cf15ba28834f58b59d6b83e89d2d78d46a0694a6,12/8(日) 18:02
