scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,link,date_original
2025-06-30,06:06,world,国際,1,共同通信,機内高温で途中空港着陸　羽田発エア・インディア機,https://news.yahoo.co.jp/articles/b82e1f1ef3877fa483a26ce90403dac7bfbc0faa,6/30(月) 0:49
2025-06-30,06:06,world,国際,2,KOREA WAVE,韓国、経済成長の鈍化で世界経済大国から後退…GDP13位に転落の見通し,https://news.yahoo.co.jp/articles/645fdc56bf1631aa202174156c296151bca01a5e,6/30(月) 4:33
2025-06-30,06:06,world,国際,3,KOREA WAVE,韓国・「王が眠る場所」でゴルフ練習…外国人観光客が写真公開「こんなこと、あり？」,https://news.yahoo.co.jp/articles/2ed8fa8028fbbff21b2acb2fc276edef5f437bfe,6/30(月) 4:03
2025-06-30,06:06,world,国際,4,KOREA WAVE,注文額9万ウォン、支払いは「少額」の別テーブル会計…韓国・居酒屋で起きた“こそくな飲み逃げ”,https://news.yahoo.co.jp/articles/1226140eaadf2794fa5846421598a8cc444ae18b,6/30(月) 5:03
2025-06-30,06:06,world,国際,5,共同通信,イラン、湾岸国と協調意向　イスラエルとの対立背景,https://news.yahoo.co.jp/articles/0916b3bcec543398cb3cdc2f1c56bdd6e31041e6,6/30(月) 4:54
2025-06-30,06:06,world,国際,6,毎日新聞,対立再燃?　マスク氏がトランプ政権批判、「何百万もの雇用を破壊」,https://news.yahoo.co.jp/articles/f2639d4c8073e1bdccb0b7064461daeb11feca6c,6/29(日) 18:06
2025-06-30,06:06,world,国際,7,朝日新聞,日本産水産物の輸入、中国が一部再開　福島県など10都県はなお禁止,https://news.yahoo.co.jp/articles/833a41ef1812d1f1ffe4aafc29c348120c94184f,6/29(日) 22:57
2025-06-30,06:06,world,国際,8,共同通信,イラン核施設被害「予想以下」　高官同士の通信を米が傍受,https://news.yahoo.co.jp/articles/76f12518721778b50f4c3f86d9a161fa16efc4c6,6/30(月) 4:52
2025-06-30,06:06,world,国際,9,読売新聞オンライン,１３２人死亡の旅客機墜落「操縦室の何者かが意図的に急降下させた可能性」…中国は調査状況を非開示,https://news.yahoo.co.jp/articles/ceaf6c33a5ff344bde2f0df233c579408a3f0827,6/27(金) 17:20
2025-06-30,06:06,world,国際,10,FNNプライムオンライン（フジテレビ系）,ペルーのワスカラン山で遭難　死亡確認の稲田千秋さん（40）の遺体収容,https://news.yahoo.co.jp/articles/489d0fe715b2a2e1bab84e026d03c7aaf4f0431b,6/29(日) 19:25
2025-06-30,06:06,world,国際,11,時事通信,中国、日本産水産物の輸入再開へ　2年ぶり、処理水で禁輸　10都県は対象外,https://news.yahoo.co.jp/articles/cd1ac873678f047f413659b6e0a567603125b74d,6/29(日) 22:44
2025-06-30,06:06,world,国際,12,日テレNEWS NNN,トランプ大統領　日本車への25％の追加関税を見直さない可能性示唆,https://news.yahoo.co.jp/articles/4c39fa054d7addd295d66ae7e871c4f6865628d0,6/30(月) 3:32
